sha256,label,source_tag,path
3ec774807849fcb5fa1a0f03bc8cdc639041d5735b2edfe167f8a75e3b6c30a8,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000002.jpg
3ec774807849fcb5fa1a0f03bc8cdc639041d5735b2edfe167f8a75e3b6c30a8,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000002.jpg
087a955305a31cf5c6d197c9aa8848bb23822201b656d47f89fe4020a4b78650,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000013.jpg
087a955305a31cf5c6d197c9aa8848bb23822201b656d47f89fe4020a4b78650,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000013.jpg
98a87a2f694aab586dcfd9076a5f2377633cfb5c47d73478e047ba43e9f85c99,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000022.jpg
98a87a2f694aab586dcfd9076a5f2377633cfb5c47d73478e047ba43e9f85c99,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000022.jpg
f08e641349bbed1bfca4f2e0c1db7fcbd89577615def950b3e795d30a09f75e9,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000026.jpg
f08e641349bbed1bfca4f2e0c1db7fcbd89577615def950b3e795d30a09f75e9,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000026.jpg
3a58d19e7073ebaf74482e92dc2a4fa5e21699308829b0a0e6d583863c2414ee,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000029.jpg
3a58d19e7073ebaf74482e92dc2a4fa5e21699308829b0a0e6d583863c2414ee,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000029.jpg
573d02ea5bc4d1611dddc41e1ed0afe9181cc3a5e555bea4b571f540bcd120f8,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000030.jpg
573d02ea5bc4d1611dddc41e1ed0afe9181cc3a5e555bea4b571f540bcd120f8,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000030.jpg
9573dcb52c11b5041f7d04b208b74f053be5b5558466dfb1c40d9677948b0057,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000031.jpg
9573dcb52c11b5041f7d04b208b74f053be5b5558466dfb1c40d9677948b0057,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000031.jpg
06ca925157a1648c51a7918163b9f0bad58ecc04635b3c7e9305d498145c9bbd,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000036.jpg
06ca925157a1648c51a7918163b9f0bad58ecc04635b3c7e9305d498145c9bbd,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000036.jpg
121819e7c7a3ade7bc4d57cbe9e71a33b85b6b8c526d9ab9e2aaadfe1945982f,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000040.jpg
121819e7c7a3ade7bc4d57cbe9e71a33b85b6b8c526d9ab9e2aaadfe1945982f,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000040.jpg
ae625d2b7e3c4c407e95f7ffefc0075439760fde2557fdb17e2ce9ef0be5a3dc,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000043.jpg
ae625d2b7e3c4c407e95f7ffefc0075439760fde2557fdb17e2ce9ef0be5a3dc,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000043.jpg
eec83c7b97f1c14a1162bcdfee53f989b19282404d93f336c761ca9c7b879b76,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000046.jpg
eec83c7b97f1c14a1162bcdfee53f989b19282404d93f336c761ca9c7b879b76,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000046.jpg
da80630e8d89ba455522cb109229c95f1b8371bd96751924a8b452ea14539ca2,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000049.jpg
da80630e8d89ba455522cb109229c95f1b8371bd96751924a8b452ea14539ca2,no_melanoma,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\No melanoma\ISIC_0000049.jpg
1d7dc9e82675c61d1b37827b86f16cbf10173ec6ef19c5ad01d3c6ce071a33f2,extension_superficial,source,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ISIC_0000054.jpg
