output_label,output_name,output_path,origin,augmentation,source_path,source_sha256
extension_superficial,ISIC_SSM_0001.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0001.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\mel.jpg,b67afeadff8bff64cb20f4b3ebab31c5fe8888a581f8ca3d86aa61f7273bdf68
extension_superficial,ISIC_SSM_0002.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0002.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\mel_sup33.jpg,84a69f42f3604b9b0fd28ec5b9754409bcdcc7d970a27dfb049690a16882fe72
extension_superficial,ISIC_SSM_0003.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0003.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\mel_sup1.jpg,eb04407be111800e3786aa5bdecbab1c781c341f79f93989cce6805644191ca8
extension_superficial,ISIC_SSM_0004.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0004.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\mel_sup15.jpg,4a1496a6aa8b9a8f4fdd38aafa0b9c95585bdc042f39a25165390a3edaa581df
extension_superficial,ISIC_SSM_0005.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0005.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\mel_sup16.jpg,6b280e8b114fe80f6410fd92eaeb1c44e23a207edf9b8d9f5d38eb53d6733e5d
extension_superficial,ISIC_SSM_0006.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0006.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\mel_sup32.jpg,7a2b9c2883c2dbd05cd48d5a112224a27d8910011608b8c43ae7f428a0e13a06
extension_superficial,ISIC_SSM_0007.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0007.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\extension.jpg,ed2bf1e2b5bcf832e827bf6feb64180d3a3eb558f8974334a9329a5fbad0ea45
extension_superficial,ISIC_SSM_0008.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0008.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ssm11__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,f9084c542e43ea57db9407eccda3716f91025dab9825280d3487f4ece7570562
extension_superficial,ISIC_SSM_0009.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0009.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\ssm23__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,a6e2bed990dcd085ff3c0eeddc5a70e1881b3caae6e233d39eeabcd95dd81215
extension_superficial,ISIC_SSM_0010.jpg,c:\Users\elpro\Documents\Github\melanoma\imagenes\dataset_balanceado_1200_estructura_original\Extensión Superficial\ISIC_SSM_0010.jpg,source,original,c:\Users\elpro\Documents\Github\melanoma\imagenes\IMAGENES DEMARTOLOGICAS\Extensión Superficial\big-melanoma__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ.jpg,72c950354d2ee365fa315ecb7b73dc7cf88aaac04b98a4f9a48052bd30fccf92
